index, word, count, percent, cum
715,presented, 19, 0.01, 75.82
716,particular, 19, 0.01, 75.83
717,outside, 19, 0.01, 75.85
718,occasion, 19, 0.01, 75.86
719,o, 19, 0.01, 75.88
720,mouth, 19, 0.01, 75.89
721,looks, 19, 0.01, 75.90
722,least, 19, 0.01, 75.92
723,journey, 19, 0.01, 75.93
724,jarvis, 19, 0.01, 75.95
725,iron, 19, 0.01, 75.96
726,gabelle, 19, 0.01, 75.97
727,favour, 19, 0.01, 75.99
728,died, 19, 0.01, 76.00
729,circumstances, 19, 0.01, 76.02
730,bastille, 19, 0.01, 76.03
731,around, 19, 0.01, 76.04
732,arose, 19, 0.01, 76.06
733,age, 19, 0.01, 76.07
734,action, 19, 0.01, 76.09
735,“then, 18, 0.01, 76.10
736,“she, 18, 0.01, 76.11
737,walls, 18, 0.01, 76.13
738,touching, 18, 0.01, 76.14
739,tonight, 18, 0.01, 76.15
740,stand, 18, 0.01, 76.17
741,soldiers, 18, 0.01, 76.18
742,silent, 18, 0.01, 76.19
743,shaking, 18, 0.01, 76.21
744,remarkable, 18, 0.01, 76.22
745,possible, 18, 0.01, 76.23
746,o’clock, 18, 0.01, 76.25
747,opinion, 18, 0.01, 76.26
748,notice, 18, 0.01, 76.27
749,north, 18, 0.01, 76.28
750,mrs, 18, 0.01, 76.30
751,lives, 18, 0.01, 76.31
752,law, 18, 0.01, 76.32
753,knowledge, 18, 0.01, 76.34
754,immediately, 18, 0.01, 76.35
755,idea, 18, 0.01, 76.36
756,god, 18, 0.01, 76.38
757,getting, 18, 0.01, 76.39
758,foulon, 18, 0.01, 76.40
759,duty, 18, 0.01, 76.42
760,during, 18, 0.01, 76.43
761,drawing, 18, 0.01, 76.44
762,drank, 18, 0.01, 76.46
763,condition, 18, 0.01, 76.47
764,character, 18, 0.01, 76.48
765,caught, 18, 0.01, 76.50
766,can’t, 18, 0.01, 76.51
767,broken, 18, 0.01, 76.52
768,blue, 18, 0.01, 76.54
769,besides, 18, 0.01, 76.55
